NUMBER LOVE_H LOVE_L LOVE_K
229 -3.60356959 0.0039559767 -0.0065620437
230 -3.608431122 0.0039396023 -0.0065385285
231 -3.613291204 0.0039233943 -0.0065152496
232 -3.618149809 0.0039073504 -0.0064922037
233 -3.623006909 0.0038914689 -0.0064693876
234 -3.627862478 0.0038757477 -0.0064467981
235 -3.632716487 0.0038601848 -0.006424432
236 -3.637568908 0.0038447785 -0.0064022862
237 -3.642419714 0.0038295268 -0.0063803578
238 -3.647268878 0.0038144278 -0.0063586438
239 -3.65211637 0.0037994798 -0.0063371412
240 -3.656962164 0.003784681 -0.0063158472
241 -3.661806231 0.0037700295 -0.0062947588
242 -3.666648542 0.0037555237 -0.0062738735
243 -3.671489071 0.0037411619 -0.0062531883
244 -3.676327788 0.0037269423 -0.0062327006
245 -3.681164666 0.0037128633 -0.0062124078
246 -3.685999675 0.0036989232 -0.0061923073
247 -3.690832788 0.0036851205 -0.0061723965
248 -3.695663976 0.0036714535 -0.0061526729
249 -3.700493212 0.0036579206 -0.0061331339
250 -3.705320465 0.0036445202 -0.0061137773
251 -3.710145709 0.003631251 -0.0060946005
252 -3.714968914 0.0036181113 -0.0060756012
253 -3.719790052 0.0036050996 -0.0060567771
254 -3.724609094 0.0035922145 -0.006038126
255 -3.729426012 0.0035794545 -0.0060196454
256 -3.734240778 0.0035668183 -0.0060013334
257 -3.739053362 0.0035543043 -0.0059831876
258 -3.743863737 0.0035419112 -0.0059652059
259 -3.748671874 0.0035296376 -0.0059473862
260 -3.753477744 0.0035174822 -0.0059297265
261 -3.758281319 0.0035054436 -0.0059122247
262 -3.76308257 0.0034935205 -0.0058948787
263 -3.767881469 0.0034817116 -0.0058776867
264 -3.772677987 0.0034700156 -0.0058606466
265 -3.777472097 0.0034584312 -0.0058437565
266 -3.782263769 0.0034469572 -0.0058270146
267 -3.787052975 0.0034355924 -0.005810419
268 -3.791839687 0.0034243355 -0.0057939678
269 -3.796623877 0.0034131853 -0.0057776592
270 -3.801405516 0.0034021407 -0.0057614915
271 -3.806184576 0.0033912005 -0.005745463
272 -3.810961028 0.0033803634 -0.0057295718
273 -3.815734845 0.0033696284 -0.0057138163
274 -3.820505999 0.0033589943 -0.0056981948
275 -3.825274461 0.0033484601 -0.0056827057
276 -3.830040203 0.0033380246 -0.0056673473
277 -3.834803198 0.0033276867 -0.0056521181
278 -3.839563417 0.0033174453 -0.0056370164
279 -3.844320833 0.0033072995 -0.0056220408
280 -3.849075417 0.0032972481 -0.0056071896
281 -3.853827142 0.0032872901 -0.0055924614
282 -3.858575981 0.0032774246 -0.0055778547
283 -3.863321904 0.0032676504 -0.0055633681
284 -3.868064887 0.0032579666 -0.005549
285 -3.872804899 0.0032483722 -0.0055347491
286 -3.877541914 0.0032388662 -0.005520614
287 -3.882275905 0.0032294478 -0.0055065933
288 -3.887006844 0.0032201158 -0.0054926855
289 -3.891734704 0.0032108695 -0.0054788895
290 -3.896459458 0.0032017078 -0.0054652038
291 -3.901181079 0.0031926299 -0.0054516272
292 -3.905899539 0.0031836348 -0.0054381584
293 -3.910614812 0.0031747217 -0.005424796
294 -3.915326871 0.0031658897 -0.005411539
295 -3.920035688 0.0031571379 -0.0053983859
296 -3.924741238 0.0031484655 -0.0053853357
297 -3.929443493 0.0031398715 -0.0053723871
298 -3.934142428 0.0031313552 -0.0053595389
299 -3.938838014 0.0031229158 -0.00534679
300 -3.943530228 0.0031145523 -0.0053341393
301 -3.94821904 0.0031062641 -0.0053215855
302 -3.952904427 0.0030980503 -0.0053091276
303 -3.957586361 0.0030899101 -0.0052967645
304 -3.962264816 0.0030818427 -0.0052844951
305 -3.966939767 0.0030738474 -0.0052723184
306 -3.971611188 0.0030659233 -0.0052602332
